Outcome,Recommendation,TargetType,RuleId,RuleName
Fail,"Consider tagging resources using a standard convention. Identify mandatory and optional tags then tag all resources and resource groups using this standard.
Also consider using Azure Policy to enforce mandatory tags.",Microsoft.OperationsManagement/solutions,PSRule.Rules.Azure\Azure.Resource.UseTags,Azure.Resource.UseTags
Fail,"Consider tagging resources using a standard convention. Identify mandatory and optional tags then tag all resources and resource groups using this standard.
Also consider using Azure Policy to enforce mandatory tags.",microsoft.operationalinsights/workspaces,PSRule.Rules.Azure\Azure.Resource.UseTags,Azure.Resource.UseTags
Fail,"Consider tagging resources using a standard convention. Identify mandatory and optional tags then tag all resources and resource groups using this standard.
Also consider using Azure Policy to enforce mandatory tags.",Microsoft.RecoveryServices/vaults,PSRule.Rules.Azure\Azure.Resource.UseTags,Azure.Resource.UseTags
Fail,"Consider tagging resources using a standard convention. Identify mandatory and optional tags then tag all resources and resource groups using this standard.
Also consider using Azure Policy to enforce mandatory tags.",Microsoft.Compute/disks,PSRule.Rules.Azure\Azure.Resource.UseTags,Azure.Resource.UseTags
Pass,Consider removing managed disks that are no longer required to reduce complexity and costs.,Microsoft.Compute/disks,PSRule.Rules.Azure\Azure.VM.DiskAttached,Azure.VM.DiskAttached
Pass,"Consider resizing or optimizing storage to reduce waste by using disk sizes that align to the billing model for Managed Disks. Also consider, sizing and striping disks to optimize performance.",Microsoft.Compute/disks,PSRule.Rules.Azure\Azure.VM.DiskSizeAlignment,Azure.VM.DiskSizeAlignment
Fail,Consider using Azure Disk Encryption (ADE) to protect VM disks from being downloaded and accessed offline.,Microsoft.Compute/disks,PSRule.Rules.Azure\Azure.VM.ADE,Azure.VM.ADE
Pass,Consider using names that meet Managed Disk naming requirements. Additionally consider naming resources with a standard naming convention.,Microsoft.Compute/disks,PSRule.Rules.Azure\Azure.VM.DiskName,Azure.VM.DiskName
Fail,"Consider tagging resources using a standard convention. Identify mandatory and optional tags then tag all resources and resource groups using this standard.
Also consider using Azure Policy to enforce mandatory tags.",Microsoft.Compute/virtualMachines,PSRule.Rules.Azure\Azure.Resource.UseTags,Azure.Resource.UseTags
Pass,Consider using managed disks for virtual machine storage.,Microsoft.Compute/virtualMachines,PSRule.Rules.Azure\Azure.VM.UseManagedDisks,Azure.VM.UseManagedDisks
Fail,Consider using availability sets/ zones or only premium/ ultra disks to improve SLA.,Microsoft.Compute/virtualMachines,PSRule.Rules.Azure\Azure.VM.Standalone,Azure.VM.Standalone
Pass,Basic VM sizes are not suitable for production workloads or intensive development workloads. Consider migration to an alternative Standard VM size.,Microsoft.Compute/virtualMachines,PSRule.Rules.Azure\Azure.VM.BasicSku,Azure.VM.BasicSku
Pass,Check disk caching is configured correctly for the workload.,Microsoft.Compute/virtualMachines,PSRule.Rules.Azure\Azure.VM.DiskCaching,Azure.VM.DiskCaching
Fail,Consider using Hybrid Use Benefit for eligible workloads.,Microsoft.Compute/virtualMachines,PSRule.Rules.Azure\Azure.VM.UseHybridUseBenefit,Azure.VM.UseHybridUseBenefit
Pass,"Automatically provision the VM agent for all supported operating systems, this is the default.",Microsoft.Compute/virtualMachines,PSRule.Rules.Azure\Azure.VM.Agent,Azure.VM.Agent
Pass,"Enable automatic updates at deployment time, then reconfigure as required to meet patch management requirements.",Microsoft.Compute/virtualMachines,PSRule.Rules.Azure\Azure.VM.Updates,Azure.VM.Updates
Pass,"Consider using names that meet VM resource name requirements. Additionally, consider using a resource name that meeting OS naming requirements.",Microsoft.Compute/virtualMachines,PSRule.Rules.Azure\Azure.VM.Name,Azure.VM.Name
Pass,"Consider using computer names that meet OS naming requirements. Additionally, consider using computer names that match the VM resource name.",Microsoft.Compute/virtualMachines,PSRule.Rules.Azure\Azure.VM.ComputerName,Azure.VM.ComputerName
Fail,"Consider tagging resources using a standard convention. Identify mandatory and optional tags then tag all resources and resource groups using this standard.
Also consider using Azure Policy to enforce mandatory tags.",microsoft.devtestlab/schedules,PSRule.Rules.Azure\Azure.Resource.UseTags,Azure.Resource.UseTags
Pass,Consider enabling soft delete on Key Vaults to enable recovery of vaults and vault items.,Microsoft.KeyVault/vaults,PSRule.Rules.Azure\Azure.KeyVault.SoftDelete,Azure.KeyVault.SoftDelete
Fail,Consider enabling purge protection on Key Vaults to enforce retention of vaults and vault items for up to 90 days.,Microsoft.KeyVault/vaults,PSRule.Rules.Azure\Azure.KeyVault.PurgeProtect,Azure.KeyVault.PurgeProtect
Pass,Consider assigning access to Key Vault data based on the principle of least privilege.,Microsoft.KeyVault/vaults,PSRule.Rules.Azure\Azure.KeyVault.AccessPolicy,Azure.KeyVault.AccessPolicy
Fail,"Consider configuring diagnostic settings to log access for Key Vault data. Also consider, storing the access data into Azure Monitor and using Key Vault Analytics.",Microsoft.KeyVault/vaults,PSRule.Rules.Azure\Azure.KeyVault.Logs,Azure.KeyVault.Logs
Pass,Consider using names that meet Key Vault naming requirements. Additionally consider naming resources with a standard naming convention.,Microsoft.KeyVault/vaults,PSRule.Rules.Azure\Azure.KeyVault.Name,Azure.KeyVault.Name
Pass,Consider using secret names that meet Key Vault naming requirements. Additionally consider naming resources with a standard naming convention.,Microsoft.KeyVault/vaults,PSRule.Rules.Azure\Azure.KeyVault.SecretName,Azure.KeyVault.SecretName
Pass,Consider using key names that meet Key Vault naming requirements. Additionally consider naming resources with a standard naming convention.,Microsoft.KeyVault/vaults,PSRule.Rules.Azure\Azure.KeyVault.KeyName,Azure.KeyVault.KeyName
Fail,"Consider tagging resources using a standard convention. Identify mandatory and optional tags then tag all resources and resource groups using this standard.
Also consider using Azure Policy to enforce mandatory tags.",Microsoft.KeyVault/vaults,PSRule.Rules.Azure\Azure.Resource.UseTags,Azure.Resource.UseTags
Fail,"Consider tagging resources using a standard convention. Identify mandatory and optional tags then tag all resources and resource groups using this standard.
Also consider using Azure Policy to enforce mandatory tags.",Microsoft.Network/networkInterfaces,PSRule.Rules.Azure\Azure.Resource.UseTags,Azure.Resource.UseTags
Pass,Consider cleaning up NICs that are not required to reduce management complexity. Also consider using Resource Groups to help manage the lifecycle of related resources together.,Microsoft.Network/networkInterfaces,PSRule.Rules.Azure\Azure.VM.NICAttached,Azure.VM.NICAttached
Pass,Consider updating NIC DNS server settings to inherit from virtual network.,Microsoft.Network/networkInterfaces,PSRule.Rules.Azure\Azure.VM.UniqueDns,Azure.VM.UniqueDns
Pass,Consider using names that meet Network Interface naming requirements. Additionally consider naming resources with a standard naming convention.,Microsoft.Network/networkInterfaces,PSRule.Rules.Azure\Azure.VM.NICName,Azure.VM.NICName
Fail,"Consider tagging resources using a standard convention. Identify mandatory and optional tags then tag all resources and resource groups using this standard.
Also consider using Azure Policy to enforce mandatory tags.",Microsoft.Network/networkSecurityGroups,PSRule.Rules.Azure\Azure.Resource.UseTags,Azure.Resource.UseTags
Pass,"Consider updating inbound rules to use a specified source such as an IP range or service tag. If inbound access from Internet-based sources is intended, consider using the service tag Internet.
Consider using services such as Application Gateway and DDoS Protection Standard when inbound Internet access is intended.",Microsoft.Network/networkSecurityGroups,PSRule.Rules.Azure\Azure.NSG.AnyInboundSource,Azure.NSG.AnyInboundSource
Pass,"Deny all inbound rules should not use priority 100. The lowest configurable priority is 100, meaning that whitelisted network traffic rules can not be placed before the deny all.
Consider whitelisting inbound network traffic as required.",Microsoft.Network/networkSecurityGroups,PSRule.Rules.Azure\Azure.NSG.DenyAllInbound,Azure.NSG.DenyAllInbound
Fail,Consider configuring NSGs rules to block outbound management traffic from non-management hosts.,Microsoft.Network/networkSecurityGroups,PSRule.Rules.Azure\Azure.NSG.LateralTraversal,Azure.NSG.LateralTraversal
Pass,Consider cleaning up NSGs that are not required to reduce management complexity. Also consider using Resource Groups to help manage the lifecycle of related resources together.,Microsoft.Network/networkSecurityGroups,PSRule.Rules.Azure\Azure.NSG.Associated,Azure.NSG.Associated
Pass,Consider using names that meet Network Security Group naming requirements. Additionally consider naming resources with a standard naming convention.,Microsoft.Network/networkSecurityGroups,PSRule.Rules.Azure\Azure.NSG.Name,Azure.NSG.Name
Fail,"Consider tagging resources using a standard convention. Identify mandatory and optional tags then tag all resources and resource groups using this standard.
Also consider using Azure Policy to enforce mandatory tags.",Microsoft.Network/bastionHosts,PSRule.Rules.Azure\Azure.Resource.UseTags,Azure.Resource.UseTags
Fail,"Consider tagging resources using a standard convention. Identify mandatory and optional tags then tag all resources and resource groups using this standard.
Also consider using Azure Policy to enforce mandatory tags.",Microsoft.Network/networkWatchers,PSRule.Rules.Azure\Azure.Resource.UseTags,Azure.Resource.UseTags
Pass,Consider removing Public IP addresses that are no longer required reduce complexity and costs.,Microsoft.Network/publicIPAddresses,PSRule.Rules.Azure\Azure.PublicIP.IsAttached,Azure.PublicIP.IsAttached
Pass,Consider using names that meet Public IP naming requirements. Additionally consider naming resources with a standard naming convention.,Microsoft.Network/publicIPAddresses,PSRule.Rules.Azure\Azure.PublicIP.Name,Azure.PublicIP.Name
Fail,"Consider tagging resources using a standard convention. Identify mandatory and optional tags then tag all resources and resource groups using this standard.
Also consider using Azure Policy to enforce mandatory tags.",Microsoft.Network/publicIPAddresses,PSRule.Rules.Azure\Azure.Resource.UseTags,Azure.Resource.UseTags
Fail,"Consider tagging resources using a standard convention. Identify mandatory and optional tags then tag all resources and resource groups using this standard.
Also consider using Azure Policy to enforce mandatory tags.",Microsoft.Network/virtualNetworks,PSRule.Rules.Azure\Azure.Resource.UseTags,Azure.Resource.UseTags
Fail,"The GatewaySubnet and AzureFirewallSubnet are special named subnets which does not support NSGs. For all other subnets, define and assign a NSG.",Microsoft.Network/virtualNetworks,PSRule.Rules.Azure\Azure.VNET.UseNSGs,Azure.VNET.UseNSGs
Pass,"Virtual networks should have at least two (2) DNS servers set when not using Azure-provided DNS.
Using a single DNS server may indicate a single point of failure where the DNS IP address is not load balanced.",Microsoft.Network/virtualNetworks,PSRule.Rules.Azure\Azure.VNET.SingleDNS,Azure.VNET.SingleDNS
Pass,"Consider deploying redundant DNS services within a connected Azure VNET.
Where possibly consider deploying Azure Private DNS Zones, a platform-as-a-service (PaaS) DNS service for VNETs. Alternatively consider deploying redundant virtual machines (VMs) or network virtual appliances (NVA) to host DNS within Azure.",Microsoft.Network/virtualNetworks,PSRule.Rules.Azure\Azure.VNET.LocalDNS,Azure.VNET.LocalDNS
Pass,Consider using names that meet Virtual Network naming requirements. Additionally consider naming resources with a standard naming convention.,Microsoft.Network/virtualNetworks,PSRule.Rules.Azure\Azure.VNET.Name,Azure.VNET.Name
Pass,Consider using names that meet subnet naming requirements. Additionally consider naming resources with a standard naming convention.,Microsoft.Network/virtualNetworks,PSRule.Rules.Azure\Azure.VNET.SubnetName,Azure.VNET.SubnetName
Pass,"Consider tagging resources using a standard convention. Identify mandatory and optional tags then tag all resources and resource groups using this standard.
Also consider using Azure Policy to enforce mandatory tags.",Microsoft.Storage/storageAccounts,PSRule.Rules.Azure\Azure.Resource.UseTags,Azure.Resource.UseTags
Pass,Storage accounts should only accept secure traffic. Consider only accepting encrypted connections by setting the Secure transfer required option. Also consider using Azure Policy to audit or enforce this configuration.,Microsoft.Storage/storageAccounts,PSRule.Rules.Azure\Azure.Storage.SecureTransfer,Azure.Storage.SecureTransfer
Pass,Consider disallowing anonymous access to storage account blobs unless specifically required. Also consider enforcing this setting using Azure Policy.,Microsoft.Storage/storageAccounts,PSRule.Rules.Azure\Azure.Storage.BlobPublicAccess,Azure.Storage.BlobPublicAccess
Pass,"To provide secure access to data always use the Private access type (default). Use Shared Access Signatures (SAS) to provide secure access to individual blobs or containers as required.
Consider using SAS tokens stored securely in a key vault, rotated and only accessed by approved applications.",Microsoft.Storage/storageAccounts,PSRule.Rules.Azure\Azure.Storage.BlobAccessType,Azure.Storage.BlobAccessType
Pass,Consider configuring the minimum supported TLS version to be 1.2. Also consider enforcing this setting using Azure Policy.,Microsoft.Storage/storageAccounts,PSRule.Rules.Azure\Azure.Storage.MinTLS,Azure.Storage.MinTLS
Pass,Consider using names that meet Storage Account naming requirements. Additionally consider naming resources with a standard naming convention.,Microsoft.Storage/storageAccounts,PSRule.Rules.Azure\Azure.Storage.Name,Azure.Storage.Name
Fail,"Consider tagging resources using a standard convention. Identify mandatory and optional tags then tag all resources and resource groups using this standard.
Also consider using Azure Policy to enforce mandatory tags.",Microsoft.Resources/resourceGroups,PSRule.Rules.Azure\Azure.Resource.UseTags,Azure.Resource.UseTags
Pass,Consider using names that meet Resource Group naming requirements. Additionally consider naming resources with a standard naming convention.,Microsoft.Resources/resourceGroups,PSRule.Rules.Azure\Azure.ResourceGroup.Name,Azure.ResourceGroup.Name
Pass,Consider using RBAC assignments on resource groups instead of individual resources.,Microsoft.Resources/resourceGroups,PSRule.Rules.Azure\Azure.RBAC.UseRGDelegation,Azure.RBAC.UseRGDelegation
Fail,"Consider tagging resources using a standard convention. Identify mandatory and optional tags then tag all resources and resource groups using this standard.
Also consider using Azure Policy to enforce mandatory tags.",Microsoft.Resources/resourceGroups,PSRule.Rules.Azure\Azure.Resource.UseTags,Azure.Resource.UseTags
Pass,Consider using names that meet Resource Group naming requirements. Additionally consider naming resources with a standard naming convention.,Microsoft.Resources/resourceGroups,PSRule.Rules.Azure\Azure.ResourceGroup.Name,Azure.ResourceGroup.Name
Pass,Consider using RBAC assignments on resource groups instead of individual resources.,Microsoft.Resources/resourceGroups,PSRule.Rules.Azure\Azure.RBAC.UseRGDelegation,Azure.RBAC.UseRGDelegation
Fail,"Consider tagging resources using a standard convention. Identify mandatory and optional tags then tag all resources and resource groups using this standard.
Also consider using Azure Policy to enforce mandatory tags.",Microsoft.Resources/resourceGroups,PSRule.Rules.Azure\Azure.Resource.UseTags,Azure.Resource.UseTags
Pass,Consider using names that meet Resource Group naming requirements. Additionally consider naming resources with a standard naming convention.,Microsoft.Resources/resourceGroups,PSRule.Rules.Azure\Azure.ResourceGroup.Name,Azure.ResourceGroup.Name
Pass,Consider using RBAC assignments on resource groups instead of individual resources.,Microsoft.Resources/resourceGroups,PSRule.Rules.Azure\Azure.RBAC.UseRGDelegation,Azure.RBAC.UseRGDelegation
Fail,"Consider tagging resources using a standard convention. Identify mandatory and optional tags then tag all resources and resource groups using this standard.
Also consider using Azure Policy to enforce mandatory tags.",Microsoft.Resources/resourceGroups,PSRule.Rules.Azure\Azure.Resource.UseTags,Azure.Resource.UseTags
Pass,Consider using names that meet Resource Group naming requirements. Additionally consider naming resources with a standard naming convention.,Microsoft.Resources/resourceGroups,PSRule.Rules.Azure\Azure.ResourceGroup.Name,Azure.ResourceGroup.Name
Pass,Consider using RBAC assignments on resource groups instead of individual resources.,Microsoft.Resources/resourceGroups,PSRule.Rules.Azure\Azure.RBAC.UseRGDelegation,Azure.RBAC.UseRGDelegation
Fail,"Consider tagging resources using a standard convention. Identify mandatory and optional tags then tag all resources and resource groups using this standard.
Also consider using Azure Policy to enforce mandatory tags.",Microsoft.Resources/resourceGroups,PSRule.Rules.Azure\Azure.Resource.UseTags,Azure.Resource.UseTags
Pass,Consider using names that meet Resource Group naming requirements. Additionally consider naming resources with a standard naming convention.,Microsoft.Resources/resourceGroups,PSRule.Rules.Azure\Azure.ResourceGroup.Name,Azure.ResourceGroup.Name
Pass,Consider using RBAC assignments on resource groups instead of individual resources.,Microsoft.Resources/resourceGroups,PSRule.Rules.Azure\Azure.RBAC.UseRGDelegation,Azure.RBAC.UseRGDelegation
Fail,"Consider tagging resources using a standard convention. Identify mandatory and optional tags then tag all resources and resource groups using this standard.
Also consider using Azure Policy to enforce mandatory tags.",Microsoft.Resources/resourceGroups,PSRule.Rules.Azure\Azure.Resource.UseTags,Azure.Resource.UseTags
Pass,Consider using names that meet Resource Group naming requirements. Additionally consider naming resources with a standard naming convention.,Microsoft.Resources/resourceGroups,PSRule.Rules.Azure\Azure.ResourceGroup.Name,Azure.ResourceGroup.Name
Pass,Consider using RBAC assignments on resource groups instead of individual resources.,Microsoft.Resources/resourceGroups,PSRule.Rules.Azure\Azure.RBAC.UseRGDelegation,Azure.RBAC.UseRGDelegation
Fail,"Consider tagging resources using a standard convention. Identify mandatory and optional tags then tag all resources and resource groups using this standard.
Also consider using Azure Policy to enforce mandatory tags.",Microsoft.Resources/resourceGroups,PSRule.Rules.Azure\Azure.Resource.UseTags,Azure.Resource.UseTags
Pass,Consider using names that meet Resource Group naming requirements. Additionally consider naming resources with a standard naming convention.,Microsoft.Resources/resourceGroups,PSRule.Rules.Azure\Azure.ResourceGroup.Name,Azure.ResourceGroup.Name
Pass,Consider using RBAC assignments on resource groups instead of individual resources.,Microsoft.Resources/resourceGroups,PSRule.Rules.Azure\Azure.RBAC.UseRGDelegation,Azure.RBAC.UseRGDelegation
Fail,"Consider tagging resources using a standard convention. Identify mandatory and optional tags then tag all resources and resource groups using this standard.
Also consider using Azure Policy to enforce mandatory tags.",Microsoft.Resources/resourceGroups,PSRule.Rules.Azure\Azure.Resource.UseTags,Azure.Resource.UseTags
Pass,Consider using names that meet Resource Group naming requirements. Additionally consider naming resources with a standard naming convention.,Microsoft.Resources/resourceGroups,PSRule.Rules.Azure\Azure.ResourceGroup.Name,Azure.ResourceGroup.Name
Pass,Consider using RBAC assignments on resource groups instead of individual resources.,Microsoft.Resources/resourceGroups,PSRule.Rules.Azure\Azure.RBAC.UseRGDelegation,Azure.RBAC.UseRGDelegation
Pass,Consider using groups for assigning permissions instead of individual user accounts.,Microsoft.Subscription,PSRule.Rules.Azure\Azure.RBAC.UseGroups,Azure.RBAC.UseGroups
Pass,Consider limiting the number of subscription Owners by using a more specific role or scoping Owner permission to a Resource Group.,Microsoft.Subscription,PSRule.Rules.Azure\Azure.RBAC.LimitOwner,Azure.RBAC.LimitOwner
Pass,"Consider limiting the number of assignment inherited from Management Groups by scoping permission to individual Resource Group.
Azure Blueprints can be used to rollout standard RBAC assignments to common resources. Additionally RBAC assignments can be deployed using Azure Resource Manager templates.",Microsoft.Subscription,PSRule.Rules.Azure\Azure.RBAC.LimitMGDelegation,Azure.RBAC.LimitMGDelegation
Pass,Consider delegating access to manage Azure resources using RBAC instead of classic Co-administrator roles. Limit delegation of Co-administrator roles only to subscription that contain resources deployed in the Classic deployment model.,Microsoft.Subscription,PSRule.Rules.Azure\Azure.RBAC.CoAdministrator,Azure.RBAC.CoAdministrator
Fail,Consider using Privileged Identity Management (PIM) to activate privileged roles on an as needed basis.,Microsoft.Subscription,PSRule.Rules.Azure\Azure.RBAC.PIM,Azure.RBAC.PIM
Fail,Consider configuring Security Center email and phone contact details.,Microsoft.Subscription,PSRule.Rules.Azure\Azure.SecurityCenter.Contact,Azure.SecurityCenter.Contact
Pass,Consider enabling auto-provisioning to improve Azure Security Center VM insights.,Microsoft.Subscription,PSRule.Rules.Azure\Azure.SecurityCenter.Provisioning,Azure.SecurityCenter.Provisioning
Fail,Consider configuring an alert to notify administrators when services you are using are potentially impacted.,Microsoft.Subscription,PSRule.Rules.Azure\Azure.Monitor.ServiceHealth,Azure.Monitor.ServiceHealth
Fail,"Consider tagging resources using a standard convention. Identify mandatory and optional tags then tag all resources and resource groups using this standard.
Also consider using Azure Policy to enforce mandatory tags.",Microsoft.Compute/restorePointCollections,PSRule.Rules.Azure\Azure.Resource.UseTags,Azure.Resource.UseTags
Fail,"Consider tagging resources using a standard convention. Identify mandatory and optional tags then tag all resources and resource groups using this standard.
Also consider using Azure Policy to enforce mandatory tags.",Microsoft.Compute/restorePointCollections,PSRule.Rules.Azure\Azure.Resource.UseTags,Azure.Resource.UseTags
Fail,"Consider tagging resources using a standard convention. Identify mandatory and optional tags then tag all resources and resource groups using this standard.
Also consider using Azure Policy to enforce mandatory tags.",Microsoft.Compute/restorePointCollections,PSRule.Rules.Azure\Azure.Resource.UseTags,Azure.Resource.UseTags
Fail,"Consider tagging resources using a standard convention. Identify mandatory and optional tags then tag all resources and resource groups using this standard.
Also consider using Azure Policy to enforce mandatory tags.",Microsoft.Compute/restorePointCollections,PSRule.Rules.Azure\Azure.Resource.UseTags,Azure.Resource.UseTags
Fail,"Consider tagging resources using a standard convention. Identify mandatory and optional tags then tag all resources and resource groups using this standard.
Also consider using Azure Policy to enforce mandatory tags.",Microsoft.Compute/restorePointCollections,PSRule.Rules.Azure\Azure.Resource.UseTags,Azure.Resource.UseTags
Fail,"Consider tagging resources using a standard convention. Identify mandatory and optional tags then tag all resources and resource groups using this standard.
Also consider using Azure Policy to enforce mandatory tags.",Microsoft.Compute/restorePointCollections,PSRule.Rules.Azure\Azure.Resource.UseTags,Azure.Resource.UseTags
Fail,"Consider tagging resources using a standard convention. Identify mandatory and optional tags then tag all resources and resource groups using this standard.
Also consider using Azure Policy to enforce mandatory tags.",Microsoft.Compute/restorePointCollections,PSRule.Rules.Azure\Azure.Resource.UseTags,Azure.Resource.UseTags
Fail,"Consider tagging resources using a standard convention. Identify mandatory and optional tags then tag all resources and resource groups using this standard.
Also consider using Azure Policy to enforce mandatory tags.",Microsoft.Compute/restorePointCollections,PSRule.Rules.Azure\Azure.Resource.UseTags,Azure.Resource.UseTags
Fail,"Consider tagging resources using a standard convention. Identify mandatory and optional tags then tag all resources and resource groups using this standard.
Also consider using Azure Policy to enforce mandatory tags.",Microsoft.Compute/restorePointCollections,PSRule.Rules.Azure\Azure.Resource.UseTags,Azure.Resource.UseTags
Fail,"Consider tagging resources using a standard convention. Identify mandatory and optional tags then tag all resources and resource groups using this standard.
Also consider using Azure Policy to enforce mandatory tags.",Microsoft.Compute/restorePointCollections,PSRule.Rules.Azure\Azure.Resource.UseTags,Azure.Resource.UseTags
Fail,"Consider tagging resources using a standard convention. Identify mandatory and optional tags then tag all resources and resource groups using this standard.
Also consider using Azure Policy to enforce mandatory tags.",Microsoft.Compute/restorePointCollections,PSRule.Rules.Azure\Azure.Resource.UseTags,Azure.Resource.UseTags
Fail,"Consider tagging resources using a standard convention. Identify mandatory and optional tags then tag all resources and resource groups using this standard.
Also consider using Azure Policy to enforce mandatory tags.",microsoft.operationalinsights/workspaces,PSRule.Rules.Azure\Azure.Resource.UseTags,Azure.Resource.UseTags
Fail,"Consider tagging resources using a standard convention. Identify mandatory and optional tags then tag all resources and resource groups using this standard.
Also consider using Azure Policy to enforce mandatory tags.",Microsoft.OperationsManagement/solutions,PSRule.Rules.Azure\Azure.Resource.UseTags,Azure.Resource.UseTags
Fail,"Consider tagging resources using a standard convention. Identify mandatory and optional tags then tag all resources and resource groups using this standard.
Also consider using Azure Policy to enforce mandatory tags.",Microsoft.OperationsManagement/solutions,PSRule.Rules.Azure\Azure.Resource.UseTags,Azure.Resource.UseTags
Fail,"Consider tagging resources using a standard convention. Identify mandatory and optional tags then tag all resources and resource groups using this standard.
Also consider using Azure Policy to enforce mandatory tags.",Microsoft.Network/networkWatchers,PSRule.Rules.Azure\Azure.Resource.UseTags,Azure.Resource.UseTags
Pass,"Consider encrypting all automation account variables.
Additionally consider, using Key Vault to store secrets. Key Vault improves security by tightly controlling access to secrets and improving management controls.",Microsoft.Automation/automationAccounts,PSRule.Rules.Azure\Azure.Automation.EncryptVariables,Azure.Automation.EncryptVariables
Pass,An expiry time of 1 year is the default for webhook creation. Webhooks should be programmatically rotated at regular intervals - Microsoft recommends setting a shorter time than the default of 1 year. If authentication is required for a webhook consider implementing a pre-shared key in the header - or using an Azure Function.,Microsoft.Automation/automationAccounts,PSRule.Rules.Azure\Azure.Automation.WebHookExpiry,Azure.Automation.WebHookExpiry
Fail,"Consider tagging resources using a standard convention. Identify mandatory and optional tags then tag all resources and resource groups using this standard.
Also consider using Azure Policy to enforce mandatory tags.",Microsoft.Automation/automationAccounts,PSRule.Rules.Azure\Azure.Resource.UseTags,Azure.Resource.UseTags
Fail,"Consider encrypting all automation account variables.
Additionally consider, using Key Vault to store secrets. Key Vault improves security by tightly controlling access to secrets and improving management controls.",Microsoft.Automation/automationAccounts,PSRule.Rules.Azure\Azure.Automation.EncryptVariables,Azure.Automation.EncryptVariables
Pass,An expiry time of 1 year is the default for webhook creation. Webhooks should be programmatically rotated at regular intervals - Microsoft recommends setting a shorter time than the default of 1 year. If authentication is required for a webhook consider implementing a pre-shared key in the header - or using an Azure Function.,Microsoft.Automation/automationAccounts,PSRule.Rules.Azure\Azure.Automation.WebHookExpiry,Azure.Automation.WebHookExpiry
Fail,"Consider tagging resources using a standard convention. Identify mandatory and optional tags then tag all resources and resource groups using this standard.
Also consider using Azure Policy to enforce mandatory tags.",Microsoft.Automation/automationAccounts,PSRule.Rules.Azure\Azure.Resource.UseTags,Azure.Resource.UseTags
Fail,"Consider tagging resources using a standard convention. Identify mandatory and optional tags then tag all resources and resource groups using this standard.
Also consider using Azure Policy to enforce mandatory tags.",Microsoft.Automation/automationAccounts/runbooks,PSRule.Rules.Azure\Azure.Resource.UseTags,Azure.Resource.UseTags
Fail,"Consider tagging resources using a standard convention. Identify mandatory and optional tags then tag all resources and resource groups using this standard.
Also consider using Azure Policy to enforce mandatory tags.",Microsoft.Automation/automationAccounts/runbooks,PSRule.Rules.Azure\Azure.Resource.UseTags,Azure.Resource.UseTags
